;[<6,1>, <20,1>, <22,1>, <48,1>, <50,1>, <54,1>, <58,1>, <83,1>, <90,1>]
skype;[<23,1>, <87,3>]
ewropea;[<21,1>]
ramsare;[<88,1>]
_;[<6,1>, <20,1>, <22,1>, <48,1>, <54,2>, <58,1>, <83,1>, <90,1>]
resume;[<37,1>, <78,2>]
zarys;[<71,1>]
b;[<5,1>, <0,1>, <4,10>, <10,7>, <9,1>, <13,7>, <14,2>, <15,2>, <16,2>, <17,5>, <18,2>, <19,2>, <24,1>, <21,38>, <23,7>, <25,7>, <27,1>, <32,2>, <7,1>, <34,1>, <38,3>, <37,17>, <41,1>, <40,30>, <42,2>, <43,2>, <46,1>, <53,6>, <57,1>, <56,1>, <60,3>, <62,3>, <63,8>, <65,3>, <68,1>, <69,6>, <70,47>, <73,3>, <74,9>, <75,8>, <71,36>, <76,1>, <77,1>, <78,26>, <79,1>, <80,2>, <82,5>, <85,1>, <87,33>, <88,29>, <89,1>, <91,1>, <95,2>, <96,1>, <97,1>, <98,1>, <99,2>, <100,34>, <105,58>]
c;[<5,3>, <8,1>, <0,1>, <4,2>, <10,6>, <13,2>, <14,2>, <15,2>, <16,2>, <17,4>, <18,2>, <19,2>, <21,25>, <23,3>, <25,1>, <31,2>, <32,1>, <34,1>, <37,38>, <40,38>, <43,2>, <46,1>, <47,5>, <50,1>, <53,2>, <56,1>, <62,1>, <63,5>, <65,1>, <68,1>, <69,1>, <70,31>, <74,1>, <75,4>, <71,19>, <78,14>, <79,1>, <80,2>, <82,2>, <85,2>, <87,23>, <88,20>, <89,1>, <91,1>, <95,1>, <97,1>, <98,1>, <99,2>, <100,24>, <101,1>, <105,21>]
garland;[<100,1>]
d;[<0,15>, <4,16>, <10,67>, <12,2>, <13,7>, <15,3>, <16,3>, <17,14>, <18,3>, <19,3>, <21,17>, <23,23>, <25,8>, <26,3>, <30,8>, <31,4>, <7,1>, <35,1>, <34,15>, <37,19>, <40,13>, <43,3>, <46,15>, <47,1>, <49,14>, <51,14>, <53,7>, <59,4>, <56,15>, <63,8>, <64,14>, <68,15>, <69,2>, <70,24>, <72,14>, <73,1>, <74,14>, <75,2>, <71,18>, <78,45>, <79,14>, <80,3>, <82,1>, <86,1>, <87,8>, <88,12>, <89,15>, <91,15>, <95,1>, <97,15>, <98,15>, <99,1>, <100,32>, <105,20>]
e;[<5,3>, <8,2>, <0,11>, <4,9>, <10,5>, <9,14>, <11,1>, <12,7>, <13,9>, <15,2>, <16,2>, <17,10>, <18,2>, <19,2>, <24,3>, <23,28>, <21,25>, <25,9>, <2,3>, <27,3>, <28,3>, <29,1>, <30,3>, <31,4>, <32,3>, <33,4>, <7,6>, <34,11>, <38,3>, <39,2>, <37,56>, <41,6>, <40,38>, <42,6>, <43,2>, <45,2>, <46,11>, <47,2>, <49,10>, <50,1>, <51,10>, <55,3>, <53,10>, <57,1>, <59,3>, <56,11>, <60,3>, <61,1>, <62,4>, <63,9>, <64,10>, <65,1>, <66,1>, <67,2>, <68,11>, <69,3>, <70,14>, <72,11>, <73,3>, <74,10>, <75,7>, <71,56>, <76,3>, <77,9>, <78,13>, <79,9>, <80,2>, <81,2>, <82,6>, <84,1>, <85,1>, <86,2>, <87,59>, <88,32>, <89,11>, <91,11>, <93,2>, <94,3>, <95,2>, <96,1>, <97,11>, <98,11>, <99,2>, <100,49>, <102,1>, <103,1>, <104,1>, <105,16>]
logothetopoulos;[<0,1>, <17,1>, <34,1>, <46,1>, <49,1>, <51,1>, <56,1>, <64,1>, <68,1>, <72,1>, <74,1>, <79,1>, <89,1>, <91,1>, <94,1>, <97,1>, <98,1>]
f;[<10,9>, <9,1>, <15,2>, <16,2>, <18,2>, <19,2>, <24,3>, <23,2>, <21,11>, <25,3>, <28,2>, <30,2>, <7,1>, <39,2>, <37,26>, <40,14>, <43,2>, <47,3>, <53,3>, <59,1>, <60,3>, <63,4>, <70,6>, <71,1>, <78,5>, <80,2>, <82,1>, <85,2>, <87,9>, <88,11>, <92,4>, <95,1>, <100,9>, <101,2>, <105,8>]
g;[<5,1>, <0,6>, <4,1>, <12,1>, <15,2>, <16,2>, <17,6>, <18,2>, <19,2>, <23,6>, <21,6>, <25,2>, <30,10>, <31,1>, <32,1>, <7,2>, <34,6>, <37,6>, <40,7>, <42,1>, <43,2>, <46,6>, <47,2>, <49,6>, <51,6>, <55,1>, <53,2>, <59,6>, <56,6>, <63,4>, <64,6>, <67,1>, <68,6>, <70,5>, <72,6>, <74,6>, <71,6>, <77,2>, <78,5>, <79,6>, <80,2>, <85,1>, <86,6>, <87,9>, <88,7>, <89,6>, <91,6>, <97,6>, <98,6>, <100,3>, <105,9>]
h;[<4,8>, <12,1>, <15,2>, <16,2>, <18,2>, <19,2>, <24,2>, <23,5>, <25,2>, <21,7>, <38,2>, <37,6>, <40,6>, <43,2>, <48,1>, <53,2>, <63,3>, <70,4>, <75,1>, <71,3>, <77,1>, <78,8>, <80,2>, <82,1>, <85,1>, <87,9>, <88,4>, <100,8>, <105,7>]
data1;[<88,1>]
j;[<4,6>, <15,2>, <16,2>, <18,2>, <19,2>, <24,7>, <23,1>, <21,10>, <26,5>, <31,1>, <38,24>, <37,7>, <40,16>, <43,2>, <53,2>, <63,3>, <67,1>, <70,4>, <75,2>, <71,3>, <78,7>, <80,2>, <82,1>, <85,1>, <87,42>, <88,18>, <93,1>, <100,9>, <105,19>]
k;[<9,1>, <12,2>, <15,2>, <16,2>, <18,2>, <19,2>, <23,4>, <21,4>, <26,6>, <31,1>, <7,1>, <38,6>, <37,6>, <40,6>, <43,2>, <50,2>, <53,2>, <59,3>, <60,4>, <63,3>, <67,2>, <70,6>, <75,2>, <71,5>, <78,5>, <80,2>, <82,8>, <87,20>, <88,11>, <100,6>, <105,8>]
conrad;[<4,2>, <25,1>, <100,1>, <105,2>]
l;[<5,4>, <8,2>, <0,1>, <4,8>, <10,4>, <9,3>, <13,6>, <15,2>, <16,2>, <18,2>, <19,2>, <24,11>, <23,27>, <25,8>, <21,19>, <2,1>, <26,3>, <28,2>, <31,2>, <7,5>, <34,1>, <38,2>, <39,1>, <37,13>, <42,2>, <40,10>, <43,2>, <45,2>, <46,1>, <47,1>, <53,4>, <59,1>, <56,1>, <60,1>, <62,6>, <63,4>, <67,1>, <68,1>, <69,1>, <70,3>, <73,1>, <75,3>, <71,9>, <77,3>, <78,6>, <80,2>, <81,1>, <82,3>, <85,1>, <86,1>, <87,24>, <88,15>, <89,1>, <91,1>, <93,2>, <97,1>, <98,1>, <100,15>, <105,7>]
eating;[<37,1>]
m;[<5,1>, <8,1>, <4,3>, <10,1>, <9,2>, <15,2>, <16,2>, <18,2>, <19,2>, <24,1>, <23,9>, <25,1>, <21,11>, <26,2>, <28,1>, <31,2>, <7,2>, <35,1>, <37,33>, <42,6>, <40,11>, <43,2>, <53,2>, <63,4>, <70,5>, <75,2>, <71,15>, <77,1>, <78,13>, <80,2>, <82,9>, <85,1>, <86,1>, <87,23>, <88,15>, <100,12>, <105,15>]
n;[<5,2>, <8,1>, <0,2>, <4,6>, <10,2>, <9,2>, <12,3>, <13,5>, <15,2>, <16,2>, <17,1>, <18,2>, <19,2>, <24,5>, <23,9>, <25,6>, <21,7>, <2,1>, <26,12>, <27,1>, <28,1>, <30,4>, <31,3>, <7,4>, <34,2>, <38,4>, <37,29>, <41,4>, <42,1>, <40,12>, <43,2>, <45,1>, <46,2>, <47,1>, <49,1>, <51,1>, <53,4>, <59,1>, <56,2>, <60,3>, <62,2>, <63,53>, <64,1>, <67,1>, <68,2>, <70,4>, <72,1>, <74,1>, <75,1>, <71,12>, <77,2>, <78,4>, <79,1>, <80,2>, <81,1>, <82,4>, <85,2>, <86,1>, <87,20>, <88,9>, <89,2>, <91,2>, <93,4>, <97,2>, <98,2>, <100,17>, <105,10>]
o;[<8,5>, <10,4>, <9,3>, <14,1>, <15,2>, <16,2>, <18,2>, <19,2>, <23,4>, <21,5>, <7,1>, <37,110>, <40,2>, <43,2>, <45,1>, <48,1>, <50,4>, <53,2>, <60,1>, <63,8>, <70,1>, <71,17>, <78,1>, <80,2>, <82,2>, <87,7>, <88,6>, <100,2>, <104,1>, <105,1>]
gripping;[<105,1>]
p;[<0,2>, <4,10>, <15,2>, <16,2>, <17,2>, <18,2>, <19,2>, <24,5>, <25,4>, <23,14>, <21,32>, <26,8>, <30,5>, <31,1>, <7,1>, <34,2>, <38,3>, <37,17>, <41,1>, <40,26>, <43,2>, <46,2>, <49,2>, <51,2>, <53,3>, <59,7>, <56,2>, <63,5>, <64,2>, <68,2>, <70,45>, <72,2>, <74,2>, <75,9>, <71,55>, <78,64>, <79,2>, <80,2>, <82,2>, <87,159>, <88,23>, <89,2>, <91,2>, <92,2>, <93,1>, <97,2>, <98,2>, <100,61>, <105,90>]
q;[<15,2>, <16,2>, <18,2>, <19,2>, <23,1>, <21,5>, <37,2>, <40,1>, <43,2>, <53,1>, <63,2>, <75,1>, <71,1>, <77,1>, <78,1>, <80,2>, <87,1>, <88,1>, <100,1>]
1007;[<71,1>, <87,1>]
r;[<9,1>, <15,2>, <16,2>, <18,2>, <19,2>, <23,8>, <21,10>, <31,1>, <38,1>, <37,6>, <42,2>, <40,4>, <43,2>, <47,1>, <53,4>, <60,4>, <63,3>, <67,1>, <75,4>, <71,2>, <78,1>, <80,2>, <82,6>, <86,1>, <87,17>, <88,18>, <100,5>, <105,13>]
s;[<5,3>, <8,6>, <1,2>, <0,8>, <4,26>, <10,10>, <9,37>, <12,3>, <13,16>, <15,4>, <16,4>, <17,7>, <18,4>, <19,4>, <24,7>, <25,17>, <23,79>, <21,90>, <2,8>, <26,6>, <27,1>, <28,2>, <29,8>, <30,3>, <31,12>, <32,2>, <33,1>, <7,4>, <35,1>, <34,8>, <36,2>, <38,28>, <39,2>, <37,224>, <41,2>, <42,7>, <40,95>, <43,4>, <44,1>, <45,4>, <46,8>, <47,1>, <49,4>, <51,4>, <53,27>, <59,7>, <56,8>, <60,13>, <62,19>, <64,5>, <63,47>, <65,4>, <66,1>, <67,12>, <68,8>, <69,15>, <70,55>, <72,4>, <73,4>, <74,25>, <75,20>, <71,97>, <76,1>, <77,15>, <78,118>, <79,6>, <80,5>, <81,3>, <82,11>, <84,4>, <85,3>, <86,20>, <87,98>, <88,89>, <89,8>, <91,8>, <92,1>, <93,14>, <94,1>, <95,5>, <97,8>, <98,8>, <99,5>, <100,185>, <103,3>, <105,175>]
t;[<5,2>, <8,2>, <1,1>, <0,3>, <4,3>, <10,15>, <9,16>, <11,1>, <12,3>, <13,3>, <15,3>, <16,3>, <17,2>, <18,3>, <19,3>, <24,3>, <25,3>, <23,20>, <21,20>, <2,3>, <26,5>, <27,3>, <28,7>, <30,3>, <31,4>, <32,3>, <33,3>, <7,3>, <34,3>, <38,5>, <37,22>, <41,2>, <42,5>, <40,23>, <43,3>, <44,2>, <45,2>, <46,3>, <47,1>, <49,2>, <50,1>, <51,2>, <55,2>, <53,6>, <57,1>, <59,3>, <56,3>, <60,3>, <61,1>, <62,13>, <64,2>, <63,6>, <65,1>, <66,1>, <67,3>, <68,3>, <69,4>, <70,4>, <72,3>, <73,2>, <74,6>, <75,6>, <71,17>, <76,3>, <77,5>, <78,9>, <79,2>, <80,3>, <81,1>, <82,6>, <84,1>, <85,1>, <86,2>, <87,38>, <88,19>, <89,3>, <91,3>, <93,6>, <94,3>, <95,1>, <96,1>, <97,3>, <98,3>, <99,2>, <100,13>, <102,1>, <103,1>, <104,1>, <105,8>]
u;[<8,1>, <4,10>, <9,3>, <15,2>, <16,2>, <18,2>, <19,2>, <25,9>, <23,7>, <21,9>, <7,1>, <37,3>, <43,2>, <40,13>, <45,1>, <47,1>, <53,2>, <62,6>, <63,2>, <71,6>, <78,21>, <80,2>, <87,23>, <88,16>, <100,3>, <105,14>]
automating;[<77,1>]
consorts;[<25,1>]
v;[<5,1>, <8,3>, <0,14>, <4,14>, <10,4>, <9,10>, <11,1>, <12,2>, <13,9>, <15,2>, <16,2>, <17,12>, <18,2>, <19,2>, <24,7>, <25,6>, <23,14>, <21,22>, <2,3>, <27,3>, <28,3>, <29,1>, <30,5>, <31,3>, <32,4>, <33,3>, <7,1>, <34,14>, <38,10>, <41,3>, <37,30>, <42,6>, <43,2>, <40,23>, <45,1>, <46,14>, <47,1>, <49,13>, <51,13>, <55,2>, <53,12>, <57,1>, <59,3>, <56,14>, <60,4>, <61,1>, <64,13>, <63,6>, <65,1>, <66,1>, <67,4>, <68,14>, <69,2>, <70,2>, <72,14>, <73,1>, <74,13>, <75,4>, <71,51>, <76,3>, <77,3>, <78,4>, <79,12>, <80,2>, <81,1>, <82,7>, <84,1>, <86,10>, <87,55>, <88,23>, <89,14>, <91,14>, <92,1>, <93,3>, <94,3>, <95,1>, <96,1>, <97,14>, <98,14>, <99,2>, <100,17>, <103,1>, <104,1>, <105,4>]
1002;[<88,1>]
w;[<6,1>, <5,1>, <8,1>, <1,1>, <0,1>, <4,2>, <10,4>, <9,3>, <11,1>, <12,1>, <13,1>, <14,1>, <15,2>, <16,2>, <17,1>, <18,2>, <19,2>, <20,1>, <22,1>, <24,1>, <25,2>, <23,2>, <21,5>, <2,1>, <26,1>, <27,1>, <28,1>, <30,1>, <31,1>, <32,1>, <33,1>, <7,1>, <35,1>, <34,1>, <36,9>, <38,1>, <39,1>, <41,1>, <37,11>, <42,2>, <43,2>, <40,6>, <45,1>, <46,1>, <47,1>, <48,1>, <49,1>, <51,1>, <54,1>, <55,1>, <53,2>, <57,1>, <58,1>, <59,1>, <56,1>, <60,1>, <61,1>, <62,1>, <64,1>, <63,2>, <65,1>, <66,1>, <67,1>, <68,1>, <69,1>, <70,1>, <72,1>, <73,1>, <74,1>, <75,2>, <71,2>, <76,1>, <77,2>, <78,2>, <79,1>, <80,2>, <81,1>, <82,1>, <83,1>, <84,1>, <85,1>, <86,1>, <87,3>, <88,1>, <89,1>, <90,1>, <91,1>, <93,1>, <94,1>, <95,1>, <96,1>, <97,1>, <98,1>, <99,1>, <100,1>, <103,1>, <104,1>, <105,10>]
x;[<8,1>, <0,1>, <4,6>, <13,1>, <15,2>, <16,2>, <17,1>, <18,2>, <19,2>, <25,3>, <23,1>, <21,1>, <34,1>, <37,3>, <43,2>, <40,1>, <46,1>, <49,1>, <51,1>, <53,1>, <56,1>, <64,1>, <68,1>, <72,1>, <74,1>, <75,1>, <71,10>, <79,1>, <80,2>, <87,3>, <88,1>, <89,1>, <91,1>, <92,1>, <97,1>, <98,1>, <100,3>, <101,1>, <105,5>]
y;[<10,2>, <13,2>, <15,2>, <16,2>, <18,2>, <19,2>, <23,1>, <21,2>, <31,1>, <37,5>, <43,4>, <40,2>, <55,1>, <53,1>, <63,16>, <75,1>, <71,1>, <80,2>, <82,1>, <87,1>, <88,1>, <92,1>, <100,1>, <101,3>, <105,2>]
z;[<0,2>, <4,1>, <15,2>, <16,2>, <17,2>, <18,2>, <19,2>, <25,1>, <23,1>, <21,4>, <31,2>, <34,2>, <37,2>, <43,2>, <40,2>, <46,2>, <47,1>, <49,2>, <51,2>, <53,1>, <56,2>, <64,2>, <68,2>, <72,2>, <74,2>, <71,7>, <78,3>, <79,2>, <80,2>, <82,1>, <87,1>, <88,1>, <89,2>, <91,2>, <97,2>, <98,2>, <100,2>, <105,5>]
information;[<5,2>, <8,1>, <1,12>, <0,2>, <4,1>, <10,1>, <9,46>, <11,1>, <12,1>, <13,2>, <14,1>, <15,1>, <16,1>, <17,1>, <18,1>, <19,1>, <24,2>, <25,1>, <23,17>, <2,2>, <21,16>, <27,2>, <28,1>, <29,5>, <30,2>, <31,3>, <32,2>, <33,2>, <7,13>, <35,1>, <36,3>, <34,2>, <38,3>, <39,1>, <41,2>, <37,5>, <42,1>, <43,1>, <40,11>, <45,5>, <46,2>, <47,4>, <49,1>, <51,1>, <52,1>, <55,4>, <53,1>, <57,2>, <59,2>, <56,2>, <60,1>, <61,2>, <62,157>, <64,1>, <63,2>, <65,2>, <66,2>, <67,1>, <68,2>, <69,1>, <70,3>, <72,1>, <73,1>, <74,1>, <75,5>, <71,7>, <76,2>, <77,11>, <78,3>, <79,1>, <80,2>, <81,1>, <82,1>, <84,2>, <85,2>, <86,1>, <87,11>, <88,11>, <89,2>, <91,2>, <92,3>, <93,2>, <94,2>, <95,1>, <96,2>, <97,2>, <98,2>, <99,2>, <100,3>, <101,4>, <102,1>, <103,2>, <104,2>, <105,7>]
adrian;[<78,1>, <100,1>]
britannia;[<37,1>, <40,1>, <105,9>]
popolazioni;[<100,1>]
piraeus;[<61,1>, <70,5>]
shoals;[<40,1>]
uprising;[<12,2>, <37,1>, <65,3>, <78,18>, <87,1>, <88,1>]
1022;[<37,1>, <100,1>]
graciosa;[<37,1>]
biogeographical;[<71,1>]
popolazione;[<100,4>]
muscat;[<37,2>]
34th;[<71,1>, <85,1>]
sisco;[<78,1>]
reproduce;[<7,1>]
amounted;[<21,1>, <71,1>]
analytics;[<62,2>, <88,1>]
1017;[<21,2>, <100,1>]
1016;[<21,1>, <100,1>]
1014;[<37,1>]
suffered;[<4,1>, <23,1>, <37,3>, <71,2>, <78,2>, <87,2>, <88,1>, <100,1>, <105,4>]
besides;[<21,3>, <40,4>, <71,1>]
myriad;[<100,1>]
vasileva;[<21,1>, <40,1>, <105,1>]
wittke;[<42,1>]
informative;[<9,1>, <23,1>]
1031;[<37,1>]
1030;[<87,1>]
remer;[<78,1>]
yayas;[<78,1>]
1024;[<105,1>]
scholars;[<9,1>, <37,2>, <40,1>, <62,1>, <75,1>, <71,1>, <100,4>]
baltas;[<17,1>, <79,1>]
waldensians;[<100,1>]
tangentopoli;[<100,1>]
raging;[<21,1>]
1044;[<4,1>]
srss;[<53,1>]
adversum;[<37,2>]
proactive;[<37,1>]
1042;[<71,1>, <105,1>]
festa;[<100,2>]
018244;[<21,1>]
portvgalliae;[<37,1>]
verifiable;[<9,4>, <15,1>, <16,1>, <18,1>, <19,1>, <43,1>, <80,1>]
1038;[<40,1>, <100,2>, <105,1>]
1035;[<41,1>]
shrinks;[<21,1>, <40,1>]
conducive;[<21,1>, <100,1>]
umbrella;[<100,1>, <105,1>]
